LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp
843294,0.374216,0.374214,0.374215,0.999995,290,3.3,1.4,3.4,1.4,15.53,0.36,358,5.1,1.7,5.1,1.7,15.44,0.36,2.6723,2.706,29.6252,0.0287,11.4573,2.6723,2.6778,180.1802,0.0114,13.3321,0.0,1e-05,,,5.0,
880588,0.600138,0.600134,0.600136,0.999993,295,3.2,1.2,3.3,1.2,16.08,0.91,442,23.4,2.4,23.4,2.4,16.08,0.84,1.6663,1.691,40.5268,0.0618,7.4387,1.6663,1.6736,136.4256,0.0109,14.7971,0.07,1e-05,L,,,
924301,0.507503,0.50744,0.507472,0.999876,418,13.8,1.9,35.3,3.8,15.42,0.87,189,162.9,9.3,224.9,11.1,15.65,0.79,1.9704,2.0043,29.5072,0.0503,11.4848,1.9707,1.9763,178.4121,0.0219,18.8612,0.08,0.00012,,,5.0,
966279,0.517279,0.51727,0.517275,0.999983,330,6.1,1.5,6.3,1.4,15.49,0.92,607,21.0,2.7,22.1,2.6,15.54,0.82,1.9332,2.001,14.7406,0.0974,7.0202,1.9332,2.0027,14.3978,0.0225,74.0537,0.1,2e-05,,,5.0,
970326,0.592233,0.592231,0.592232,0.999997,275,1.9,1.1,1.9,1.1,15.91,0.51,552,7.7,2.1,7.6,2.1,15.88,0.75,1.6885,1.7563,14.7656,0.0676,7.0802,1.6885,1.6992,93.2836,0.0052,18.7531,0.24,0.0,,,5.0,
999528,0.658401,0.658407,0.658404,1.000009,564,1.8,1.2,1.9,1.2,16.22,0.57,213,21.7,2.7,22.0,2.6,16.21,0.92,1.5188,1.5527,29.5247,0.0685,14.9114,1.5188,1.551,31.0366,0.0156,13.0403,0.35,1e-05,,,5.0,
1004849,0.458463,0.458467,0.458465,1.000009,607,6.5,1.3,6.8,1.3,15.71,1.14,193,14.7,2.6,16.4,2.5,15.58,1.6,2.1812,2.2151,29.4985,0.0453,12.0305,2.1812,2.2704,11.2039,0.0257,13.5826,0.46,1e-05,,,5.0,
1005497,0.653607,0.653605,0.653606,0.999997,607,2.1,1.1,2.1,1.1,15.66,0.6,192,12.4,2.1,12.8,2.1,15.76,0.83,1.53,1.5639,29.4638,0.0567,11.4094,1.53,1.5481,55.1116,0.0233,12.4111,0.23,0.0,,,5.0,
1051321,0.330482,0.330481,0.330482,0.999997,558,5.6,1.2,5.6,1.2,15.06,0.33,353,1.9,1.3,1.9,1.3,14.99,0.33,3.0259,3.0598,29.5029,0.0412,20.8807,3.0259,3.0314,180.3427,0.0156,12.6928,0.0,0.0,,,5.0,
1059786,0.463511,0.463516,0.463514,1.000011,549,1.4,1.0,1.5,0.9,15.87,1.18,350,8.0,2.0,7.5,2.1,15.85,1.15,2.1574,2.1913,29.5247,0.0813,12.411,2.1574,2.2348,12.9241,0.0436,17.8884,0.03,1e-05,,,5.0,
1092244,0.649496,0.649558,0.649527,1.000095,590,2.3,1.2,5.2,1.7,16.09,0.72,326,32.1,3.6,51.6,5.3,16.15,0.58,1.5397,1.5735,29.5421,0.1267,13.4443,1.5395,1.564,40.833,0.0138,14.1927,0.14,0.0001,,,5.0,
1102647,0.621541,0.621548,0.621544,1.000011,559,2.8,1.3,2.3,1.2,14.8,0.78,285,4.6,1.7,3.8,1.5,14.72,0.79,1.6089,1.6428,29.5116,0.1039,14.9387,1.6089,1.6144,180.9955,0.0444,16.4619,0.01,1e-05,,,5.0,
1112498,0.492932,0.492942,0.492937,1.00002,541,1.6,1.0,2.6,1.0,15.99,1.09,289,8.9,1.9,10.4,2.2,15.89,1.44,2.0287,2.0416,77.1903,0.0601,13.9341,2.0286,2.0545,38.6922,0.0423,49.288,0.35,2e-05,,,5.0,
1197898,0.341894,0.341881,0.341888,0.999962,261,2.0,1.2,3.4,1.8,14.72,0.27,240,3.2,1.5,4.5,1.9,14.65,0.4,2.9249,2.9953,14.1995,0.0195,10.6403,2.925,2.928,333.3333,0.0342,19.6602,0.13,4e-05,,Z,11.0,period
1210627,0.284468,0.284472,0.28447,1.000014,277,1.4,1.1,1.5,1.2,15.91,0.46,461,4.2,1.8,6.0,1.9,15.84,0.6,3.5153,3.586,14.1553,0.0232,11.8684,3.5153,3.5202,205.1282,0.0031,21.3564,0.14,1e-05,,,5.0,
1212611,0.630896,0.630893,0.630894,0.999995,297,0.9,0.9,0.9,0.9,15.64,0.75,478,2.5,1.2,2.3,1.2,15.59,1.01,1.585,1.5962,89.3256,0.0606,10.3725,1.5851,1.6399,18.2199,0.0035,9.7157,0.26,0.0,L,,,
1240665,0.632528,0.632522,0.632525,0.999991,468,25.2,3.0,25.4,2.9,14.55,0.33,311,1.6,1.1,1.7,1.2,14.5,0.33,1.581,1.6149,29.4942,0.052,14.1052,1.581,1.5865,182.3154,0.057,15.9957,0.0,1e-05,Z,,,
1244554,0.536875,0.536962,0.536919,1.000162,469,9.5,1.8,18.4,2.7,15.78,0.71,312,14.8,2.3,177.1,7.5,15.58,0.97,1.8626,1.8966,29.4638,0.0687,12.3222,1.8623,1.9325,14.2481,0.0416,15.6071,0.26,0.00016,,,5.0,
1271119,0.56527,0.565257,0.565264,0.999977,280,2.9,1.0,3.0,0.9,16.24,0.69,521,45.5,4.0,47.2,4.3,16.3,0.9,1.7691,1.8366,14.806,0.1103,5.8052,1.7691,1.7739,208.3333,0.0071,16.6725,0.21,2e-05,,,5.0,
1307948,0.527474,0.527415,0.527444,0.999888,262,6.7,1.8,9.6,1.6,15.63,0.49,655,35.2,4.5,49.8,5.2,15.53,0.54,1.8958,1.9302,29.0909,0.0682,6.336,1.896,1.9494,18.7441,0.01,20.0332,0.05,0.00011,,,5.0,
1332201,0.580711,0.580731,0.580721,1.000034,260,9.2,1.6,9.8,1.6,15.22,0.59,208,50.1,4.2,60.5,4.9,15.23,0.83,1.722,1.7559,29.4942,0.0723,12.3986,1.722,1.7918,14.3225,0.0045,6.6974,0.24,3e-05,,,5.0,
1390653,0.521867,0.521871,0.521869,1.000008,524,4.2,1.3,4.1,1.3,15.83,1.1,310,44.9,4.1,47.1,4.4,15.79,1.28,1.9162,1.9502,29.4291,0.0516,10.3776,1.9162,2.0026,11.5768,0.0326,51.297,0.18,1e-05,,,5.0,
1435279,0.381858,0.38186,0.381859,1.000005,545,8.4,2.1,8.4,2.1,15.55,0.42,316,24.6,4.2,24.4,4.2,15.55,0.4,2.6188,2.6527,29.5029,0.0347,15.3711,2.6188,2.6243,180.1802,0.0351,20.276,0.02,1e-05,,,5.0,
1448299,0.606912,0.60694,0.606926,1.000046,435,32.5,2.7,35.1,3.0,15.05,0.77,267,35.6,5.4,40.8,5.4,15.03,0.7,1.6477,1.6816,29.4551,0.0762,16.5293,1.6476,1.6531,180.9955,0.0363,15.03,0.07,5e-05,,,5.0,
1457871,0.515446,0.515447,0.515446,1.000002,498,10.7,1.4,10.7,1.4,14.74,0.89,198,3.7,1.6,3.9,1.6,14.56,1.23,1.9401,1.9738,29.634,0.088,13.8022,1.9401,1.9714,31.9132,0.0259,19.9587,0.34,0.0,,,5.0,
1482761,0.297081,0.297077,0.297079,0.999987,340,1.1,1.1,1.2,1.1,15.97,0.34,295,6.1,2.5,7.0,2.7,15.87,0.48,3.3661,3.3999,29.5683,0.0484,16.0004,3.3661,3.3694,308.1664,0.0026,12.5267,0.14,1e-05,,,5.0,
1491155,0.536245,0.53625,0.536248,1.000009,323,1.5,0.8,1.6,0.9,16.14,0.89,328,17.7,2.4,19.2,2.3,16.01,1.23,1.8648,1.9338,14.5022,0.0618,9.4822,1.8648,1.9351,14.2187,0.0161,12.594,0.34,1e-05,,,5.0,
1491942,0.479459,0.47946,0.47946,1.000002,331,5.7,1.9,5.9,1.9,15.72,0.91,468,29.5,3.1,29.5,3.1,15.78,0.85,2.0857,2.1271,24.1284,0.0701,11.3765,2.0857,2.0886,341.2969,0.0083,9.7198,0.06,0.0,,,5.0,
1492054,0.356655,0.356649,0.356652,0.999983,339,3.4,1.6,3.5,1.6,16.25,0.44,528,28.3,5.1,29.1,5.2,16.24,0.41,2.8038,2.8066,357.7818,0.0249,7.3369,2.8039,2.8068,338.4095,0.0059,13.6406,0.03,2e-05,,,5.0,
1492129,0.627674,0.627745,0.627709,1.000113,339,8.6,1.9,51.9,2.8,15.0,0.78,152,6.5,1.6,158.4,5.7,14.96,1.11,1.5932,1.5966,294.9853,0.0567,4.7092,1.593,1.6313,26.1165,0.0141,11.26,0.33,0.00011,,,5.0,
1539000,0.500288,0.500279,0.500284,0.999982,410,6.1,1.5,6.5,1.5,15.15,0.89,468,66.3,3.6,65.2,3.4,15.08,1.13,1.9989,2.0021,303.9514,0.0487,10.3001,1.9989,2.0017,355.8719,0.0388,21.2223,0.24,2e-05,,,5.0,
1551619,0.338148,0.338146,0.338147,0.999994,295,2.0,1.3,2.0,1.3,15.08,0.35,436,2.9,1.7,3.1,1.7,15.07,0.47,2.9573,3.028,14.1493,0.0271,9.969,2.9573,2.9621,207.0393,0.0027,13.8838,0.12,1e-05,,Z,9.0,amp
1553288,0.283999,0.283999,0.283999,1.0,273,4.6,0.9,4.6,0.9,15.65,0.25,625,1.4,1.1,1.4,1.1,15.61,0.24,3.5211,3.5906,14.4071,0.0066,7.5859,3.5211,3.5259,210.9705,0.0051,21.414,0.01,0.0,,,5.0,
1584721,0.676196,0.676189,0.676192,0.99999,426,4.3,1.3,3.5,1.3,14.87,0.88,160,3.2,1.8,3.0,1.5,14.81,1.2,1.4789,1.5128,29.4551,0.1963,11.1159,1.4789,1.5267,20.9314,0.0232,12.9314,0.32,1e-05,,,5.0,
1593736,0.592628,0.59265,0.592639,1.000037,264,2.1,1.2,2.2,1.2,16.45,0.37,532,35.9,5.7,36.4,5.5,16.63,0.36,1.6874,1.7584,14.0795,0.0353,8.9538,1.6873,1.691,272.4796,0.0024,10.2752,0.01,4e-05,,,5.0,
1615764,0.488189,0.48819,0.48819,1.000002,334,3.0,1.5,3.0,1.4,15.32,1.07,330,5.8,1.6,5.8,1.6,15.26,1.04,2.0484,2.0712,43.8789,0.0866,11.1127,2.0484,2.0512,356.5062,0.0339,23.7795,0.03,0.0,L,,,
1634230,0.600537,0.600542,0.60054,1.000008,273,4.2,1.7,4.4,1.7,14.97,0.58,187,1.8,1.0,1.8,1.0,14.99,0.45,1.6652,1.733,14.746,0.126,6.344,1.6652,1.6682,327.3322,0.0573,11.9124,0.13,1e-05,,,5.0,
1736308,0.555848,0.555843,0.555846,0.999991,372,2.9,1.3,3.0,1.2,15.41,0.7,44,1.9,1.0,2.0,1.0,15.32,0.59,1.7991,1.833,29.4377,0.0861,13.7119,1.7991,1.8264,36.6367,0.0529,5.6501,0.11,1e-05,Z,,,
1748058,0.310237,0.310176,0.310206,0.999803,463,2.2,1.4,13.5,4.2,15.74,0.38,272,30.7,5.7,40.7,7.1,15.76,0.23,3.2233,3.2572,29.5203,0.0428,20.2894,3.224,3.2297,173.3102,0.0077,8.322,0.15,0.0002,,,5.0,
1784750,0.590825,0.590826,0.590826,1.000002,520,1.2,0.8,1.2,0.8,15.27,0.72,108,6.5,1.7,6.5,1.7,15.24,0.98,1.6925,1.7265,29.4724,0.0442,15.3336,1.6925,1.7718,12.6239,0.0132,4.6072,0.26,0.0,,,5.0,
1790596,0.534498,0.534506,0.534502,1.000015,509,19.3,3.1,19.6,3.2,15.01,0.79,327,15.6,3.3,14.7,3.2,15.06,0.7,1.8709,1.9046,29.6868,0.0593,9.7975,1.8709,1.8764,182.1494,0.0295,18.4817,0.09,1e-05,,,5.0,
1818091,0.494996,0.494995,0.494996,0.999998,304,1.1,0.8,1.1,0.8,16.06,1.12,562,7.9,2.1,8.1,2.1,15.89,1.49,2.0202,2.054,29.6033,0.0755,7.7648,2.0202,2.029,114.3511,0.0251,29.0443,0.37,0.0,,,5.0,
1828651,0.535167,0.535176,0.535171,1.000017,316,3.0,1.2,3.0,1.2,16.25,0.77,417,6.2,1.9,7.5,1.8,16.29,0.8,1.8686,1.9356,14.9087,0.0906,11.0282,1.8685,1.9356,14.912,0.0152,15.3303,0.03,2e-05,,,5.0,
1852714,0.454979,0.454984,0.454982,1.000011,294,3.9,1.4,4.0,1.5,15.59,1.19,134,11.5,2.7,11.1,2.5,15.83,0.84,2.1979,2.2685,14.1733,0.0546,6.8726,2.1979,2.2027,208.7683,0.0366,13.7733,0.35,1e-05,,,5.0,
1857382,0.566428,0.566407,0.566418,0.999963,280,20.4,2.7,25.2,2.8,14.34,0.55,417,14.9,2.5,17.8,2.9,14.3,0.56,1.7655,1.836,14.1814,0.0717,10.3483,1.7655,1.782,60.5877,0.0037,8.829,0.01,4e-05,,,5.0,
1871916,0.600461,0.600462,0.600462,1.000002,267,3.0,1.3,3.6,1.3,14.79,1.01,491,4.7,1.4,4.7,1.4,14.77,0.93,1.6654,1.6993,29.4898,0.0704,6.4969,1.6654,1.6735,122.9256,0.0062,12.9249,0.08,0.0,,,5.0,
1876491,0.760128,0.760123,0.760126,0.999993,301,2.5,1.2,2.5,1.2,15.74,0.41,609,1.8,1.2,1.8,1.2,15.71,0.36,1.3156,1.3365,47.8813,0.0635,6.5301,1.3156,1.3204,207.0393,0.0104,15.2058,0.05,1e-05,L,,,
1882088,0.315984,0.316041,0.316013,1.00018,303,20.5,4.0,68.0,7.3,14.72,0.41,120,4.2,1.5,91.2,6.4,14.63,0.6,3.1647,3.1675,355.8719,0.0176,12.2776,3.1641,3.169,205.1282,0.0178,10.2242,0.19,0.00018,,,5.0,
1882354,0.695061,0.695029,0.695045,0.999954,313,3.0,1.5,3.9,1.7,15.82,0.63,411,13.2,2.8,15.8,2.8,15.71,0.7,1.4387,1.4909,19.1516,0.0753,8.1631,1.4388,1.4419,326.2643,0.0285,15.2308,0.07,5e-05,,,5.0,
1915212,0.309753,0.309755,0.309754,1.000006,596,6.3,1.8,6.4,1.8,15.29,0.41,295,2.1,1.6,2.2,1.6,15.34,0.32,3.2284,3.2623,29.4898,0.0263,21.8912,3.2284,3.2339,180.6685,0.0102,13.8259,0.09,1e-05,,,5.0,
1931336,0.565389,0.565399,0.565394,1.000018,305,39.8,3.2,39.8,3.6,13.93,0.9,291,4.3,1.3,7.9,1.6,13.88,0.92,1.7687,1.8026,29.4898,0.0746,10.688,1.7687,1.7741,182.8154,0.0138,9.7286,0.02,2e-05,,,5.0,
1936459,0.649248,0.64924,0.649244,0.999988,431,0.6,0.7,0.6,0.7,16.45,0.45,268,1.7,1.1,1.7,1.0,16.41,0.43,1.5402,1.5741,29.5203,0.0754,10.9704,1.5403,1.5458,181.8182,0.0526,16.0767,0.02,1e-05,Z,,,
2023155,0.608582,0.608583,0.608582,1.000002,438,2.4,1.1,2.4,1.1,15.14,0.83,172,7.4,1.7,6.3,1.7,15.08,1.13,1.6432,1.677,29.5203,0.063,11.1155,1.6432,1.6712,35.6062,0.0075,8.0317,0.3,0.0,,,5.0,
2041979,0.653694,0.653639,0.653666,0.999916,276,1.5,1.2,2.4,1.3,16.14,0.63,1378,57.5,5.3,66.8,5.7,16.27,0.64,1.5298,1.5944,15.4607,0.063,6.6223,1.5299,1.5816,19.3442,0.0024,6.8018,0.01,8e-05,,,5.0,
2044369,0.53495,0.53495,0.53495,1.0,253,0.8,0.8,0.8,0.8,16.29,0.82,1402,6.1,1.7,6.1,1.7,16.17,1.18,1.8693,1.9031,29.5814,0.0924,7.171,1.8693,1.936,14.9903,0.0109,14.7131,0.36,0.0,,,5.0,
2075949,0.477806,0.477666,0.477736,0.999707,519,4.0,1.6,29.7,4.4,15.57,0.69,130,22.2,4.7,56.2,5.6,15.86,0.6,2.0929,2.1268,29.4768,0.0754,16.9427,2.0935,2.1389,22.041,0.0317,8.6985,0.09,0.00029,,,5.0,
2099155,0.29379,0.293791,0.29379,1.000003,505,2.2,1.2,2.2,1.2,16.0,0.43,280,2.3,1.3,2.4,1.2,16.0,0.57,3.4038,3.4376,29.5508,0.0329,27.1968,3.4038,3.4087,202.6342,0.0024,10.502,0.14,0.0,,Z,9.0,amp
2117028,0.591245,0.591243,0.591244,0.999997,527,10.2,2.2,10.1,2.1,15.07,0.64,193,22.1,3.5,22.4,3.4,15.14,0.79,1.6913,1.7252,29.5552,0.0566,11.0045,1.6914,1.6968,182.3154,0.0039,6.5939,0.15,0.0,,,5.0,
2122319,0.359422,0.359424,0.359423,1.000006,519,7.2,2.1,7.2,2.2,15.64,0.38,199,36.6,6.1,36.5,6.2,15.67,0.55,2.7822,2.8161,29.5421,0.0269,16.6582,2.7822,2.8926,9.0645,0.0044,8.681,0.17,1e-05,,,5.0,
2125638,0.606318,0.606323,0.60632,1.000008,542,1.9,0.9,1.9,0.9,15.5,0.54,293,2.1,1.2,2.4,1.2,15.45,0.55,1.6493,1.6831,29.5552,0.0522,15.5539,1.6493,1.6547,184.8429,0.043,10.5944,0.01,1e-05,,Z,8.0,period
2145400,0.564732,0.564735,0.564734,1.000005,349,5.3,1.5,4.8,1.5,15.12,0.8,310,4.0,1.5,4.3,1.5,15.11,1.11,1.7708,1.8168,21.7202,0.0719,5.8372,1.7707,1.8481,12.9333,0.0052,7.9625,0.31,1e-05,,,5.0,
2148637,0.272267,0.272265,0.272266,0.999993,339,1.5,1.2,1.6,1.2,15.9,0.41,307,4.4,2.1,4.7,2.3,15.78,0.55,3.6729,3.7095,27.3187,0.0227,21.8423,3.6729,3.6805,131.8392,0.0045,19.2289,0.14,1e-05,,,5.0,
2196029,0.292568,0.292575,0.292572,1.000024,265,1.2,0.9,1.6,1.0,16.54,0.44,884,4.8,1.6,5.6,1.5,16.53,0.39,3.418,3.4545,27.4236,0.0135,9.6541,3.4179,3.4208,345.4231,0.0027,12.8725,0.05,2e-05,,,5.0,
2227132,0.642661,0.642661,0.642661,1.0,260,2.2,1.0,2.2,1.0,15.49,0.96,1441,3.4,1.5,3.4,1.5,15.42,0.92,1.556,1.5915,28.1611,0.0932,7.3781,1.556,1.5916,28.1532,0.0023,16.6777,0.04,0.0,,Z,8.0,period
2229607,0.575179,0.575211,0.575195,1.000056,290,2.7,1.2,2.8,1.2,16.13,0.55,731,38.3,4.4,48.2,4.3,16.11,0.81,1.7386,1.8093,14.1383,0.0626,7.3519,1.7385,1.7433,207.2539,0.0017,10.3544,0.26,6e-05,,,5.0,
2243683,0.579777,0.579803,0.57979,1.000045,531,22.0,3.1,24.8,3.2,15.07,0.52,262,36.0,4.3,42.2,4.3,14.96,0.56,1.7248,1.7588,29.4204,0.0526,16.6097,1.7247,1.7303,180.018,0.0141,8.5969,0.04,4e-05,,,5.0,
2248787,0.563528,0.563539,0.563534,1.00002,540,8.8,2.1,9.3,2.0,15.27,0.74,283,15.6,2.4,15.9,2.6,15.25,0.68,1.7745,1.8085,29.4638,0.0498,15.1232,1.7745,1.7937,52.1648,0.0215,16.4951,0.06,2e-05,,,5.0,
2251043,0.533678,0.467972,0.500825,0.876881,462,7.2,2.1,13.1,3.3,16.12,0.34,177,154.9,14.2,326.3,15.9,15.98,0.62,1.8738,1.9077,29.4724,0.0386,12.4368,2.1369,2.2254,11.302,0.0069,10.6908,0.28,0.1312,,,5.0,
2264042,0.655373,0.655391,0.655382,1.000027,391,6.5,1.6,6.8,1.6,15.81,0.74,299,57.4,4.0,58.4,3.9,15.71,0.76,1.5258,1.5597,29.5465,0.065,8.5938,1.5258,1.5313,182.4818,0.0199,10.8262,0.02,3e-05,,,5.0,
2280940,0.562372,0.562374,0.562373,1.000004,310,1.4,1.1,1.4,1.1,16.22,0.84,735,17.5,3.2,17.3,3.2,16.2,1.01,1.7782,1.8461,14.7286,0.0537,5.6057,1.7782,1.7847,153.2567,0.0019,14.1571,0.17,0.0,,,5.0,
2301515,0.565974,0.565976,0.565975,1.000004,256,1.7,1.4,1.7,1.3,15.3,0.86,464,5.1,2.0,5.1,2.0,15.27,0.81,1.7669,1.8345,14.782,0.1009,7.8922,1.7669,1.7701,312.5,0.0097,10.6338,0.05,0.0,,,5.0,
2333087,0.551462,0.551424,0.551443,0.999931,560,29.8,3.5,39.6,3.3,15.03,0.72,202,90.2,8.0,111.0,8.6,15.07,0.88,1.8134,1.8473,29.5072,0.0896,12.6236,1.8135,1.8304,59.0842,0.004,7.1818,0.16,7e-05,,,5.0,
2334384,0.555341,0.555333,0.555337,0.999986,443,10.5,2.0,10.7,2.1,15.01,0.63,204,84.7,6.5,88.6,6.6,15.0,0.88,1.8007,1.8346,29.5377,0.0505,9.9968,1.8007,1.8353,28.9394,0.0038,6.6725,0.25,1e-05,,,5.0,
2397296,0.488814,0.488836,0.488825,1.000045,522,3.2,1.2,3.9,1.3,16.17,0.65,196,78.9,6.6,84.1,6.8,16.02,1.01,2.0458,2.0796,29.5421,0.0595,14.0709,2.0457,2.0672,46.5224,0.0206,14.176,0.36,5e-05,,,5.0,
2414841,0.559611,0.559592,0.559602,0.999966,522,5.6,1.7,6.5,1.8,15.25,0.69,305,62.8,5.7,79.8,6.0,15.33,1.09,1.787,1.8208,29.5421,0.0855,11.1928,1.787,1.792,201.2072,0.0092,11.4217,0.4,3e-05,,,5.0,
